Unlevered Beta of Golden Books existing business = 0.85/(1+(1-.40)(.5)) =,
Unlevered Beta of video business = 1.10/(1+(1-.4)(.25)) =,
Unlevered beta of Golden Books  (new business mix) = 0.65 (.5) + 0.96(.5) =,
Levered Beta for Golden Books = 0.81 (1+(1-.4)(1.50)) =,
,
Quiz 1: Spring 2000,
Problem 1,
"On this question, if you did lose points, odds are that you do not agree with my grading. I have tried",
"give you my rationale below. If you do not agree with it, or you can make a good case for your answer,",
come by and make your argument. I am not unreasonable and will give you full credit,
if your answer makes sense.,
a. Stockholder power increases: Calpers will push for changes in management,
b. Management power increases: More difficult to change the board when only one-third,
of the board gets elected each year.,
"(I understand your argument that it depends upon who picks the directors. If the CEO does, many of you",
"argued, it makes no difference. However, remember that even if the CEO picks the directors, the stockholders",
"have to approve those choices. I know that stockholders do not always exercise this power, but at least they",
have one chance each year to change their ways. This is reduced when only one third gets elected each year),
c. Increase stockholder power. More information will be available on firm,
"(Some of you argued that this makes no difference, but I think it does. If you are a stockholder in a firm where",
"the managers control the flow of information and you have no other sources of analysis of information, it seems",
to me that you are at a disadvantage. Increasing information increases your power),
d. Management power increases,
"(On this one, I was torn. The CEO, who is part of incumbent management now gets more voting power to back her",
"up. At the same time, this reduces the conflict between stockholders and managers. If you did state that as a",
"reason for stockholder power increasing, I gave you full credit. If you did not, and that was why you chose this option",
I will give you full credit),
,
Problem 2,
"Since the marginal investor is globally diversified, I would use the MSCI regression. To get",
"a DM cost of equity, I would use the DM riskfree rate.",
Expected return = 4.5% + 0.8 (6%) = ,
,
Problem 3,
a.,
Unlevered Beta for General Systems = 1.20/(1+(1-.4)(4/10)) =,
Unlevered Beta for FastWorks = 1.40/(1+(1-.4)(1/8)) =,
Unlevered Beta of combined firm = 0.9677 (14/23) + 1.3023 (9/23) =,
,
b.,
Beta after the transaction =,
Solving for the Debt to equity ratio =,
1.52 = 1.0987 (1 + (1-.4)(D/E)) ,
D/E = ,
Debt to capital ratio=,
Debt after transaction  = (D/ (D+E)) (Firm value) = .3899 (23) =,8.967811794321253
Debt from two firms = 4 + 1 =,5
Debt issued on transaction =,3.9678117943212534
,
A Quick Check,
Assets,
Gen Systems,
Fastworks,
,
"(Put your answer in this balance sheet and see if it balances, and yields a debt to equity ratio of 0.64)",
,
Quiz 1: Spring 2001,
Problem 1,
a. Weekly riskfree rate =,
Jensen's alpha (weekly) =,
Jensen's alpha (annual) =,
,
b. Range on beta =,
"Since this is approximately one standard error from the estimate,",
Standard Error =,
,
c. I would use the geometric premium over the long term bond:,
Geometric premium =,! You have to use the current T.Bond rate
Cost of equity = 5.4% + 1.80 (4.7%) =,
,have to stay with the historical data.
,
"d. No. (Or at least, not necessarily). You would need to trade to be the marginal",
investor and founder/owners generally do not do a lot of trading.,
"In a sense, it does not really matter whether the remaining 80% is owned by individuals or institutions. What matters is whether",
the owner/founder trades a lot..,
,
Problem 2,
Unlevered beta for Vivant =,
Current market value of equity =,
After transaction:,
Unlevered beta for software firms =,
Unlevered beta for Vivant after merger = 0.90 (300/500) + 1..25 (200/500) =,1.04
Debt to Equity ratio after the transaction =,
New levered beta = 1.04 (1 + (1-.4) (.3333)) =,
,
Quiz 1: Spring 2002,
Problem 1,
"a. True. (I must admit that this was a tough one to reason through. The empirical evidence indicates that smaller boards are more effective. As some of you point out, though, you can make a good case for larger boards)",
b. False. Insider dominated boards make it very unlikely that you will challenge incumbent management.,
"c. False. See lecture notes. On average, stock prices go up on investment announcements.",
"d. False. The marginal investor needs to trade, not just hold stock.",
,
Problem 2,
"a, You cannot draw a conclusion without knowing the riskfree rate. (If the monthly riskfree rate >0.5%, the stock did better than expected",
"If riskfree rate < 0.5%, the stock did worse than expected)",
b. You should use the treasury bond rate and the implied equity risk premium,
Cost of equity = 4.9% + 1.2 (3.62%) =,0.09244
,
Problem 3,
a. Unlevered beta based upon regression = 0.848/(1+ (1-.4) (.10)) = ,
b. New unlevered beta,
Business,
Trucking,
Software,
Unlevered beta = 0.80 (400/500) + 1.30 (100/500) =,
! If you compute unlevered beta with cash: 0.8(400/550) + 1.3(100/550) + 0(50/550) =,
Wrong market value weights: - 1 point,
If you unlevered the beta of target firm (which is already unlevered): -1 point,
c.,
Market value of equity = 10*35 - 50 =,300
Market value of debt = 50+150 =,200
new levered beta = 0.90 (1 + (1-.4) (200/300)) =,1.26
,
Quiz 1: Spring 2003,
Problem 1,
"a. Decrease stockholder power. While it may empower some stockholders (probably insiders), it will reduce to voting rights of stockholders in the aggregate.",
b. Increase stockholder power. The voting rights on these treasury stock will no longer reside with management.,
What makes treasury stock particularly damaging to stockholders is that managers use stockholder money to buy stock in the company and then proceed to vote the stock.,
"     Even if they do not vote the stock, it becomes a very effective way of getting rid of troublesome stockholders.",
"c. Decrease stockholder power: Hostile acquisitions will become less likely, thus entrenching existing management,",
d. Decrease stockholder power. Foreign institutional investors are less likely to be cowed by incumbent managers.,
,
"While I see some merit in the argument that local investors are more likely to be involved than foreign investors, note that domestic investors are not precluded from investing if foreing investors enter the market. As a general rule, any restriction on investors buying stock or voting on them plays into the hands of incumbent management. Domestic stockholders are made more powerful when they are backed up by foreign investors.",
,
,
,
Problem 2a.,
Monthly Jensen's alpha = 0.30% = 0.05% - Riskfree rate (1-2.00),
Monthly riskfree rate =,
Annualized riskfree rate=,
,
Problem 2b.,
Riskfree rate =,
Risk Premium =,
Euro Cost of Equity =,
! Use of US T.Bond rate: - .5 point,
! You cannot use the European historical premium since there are only 10 years in the sample. The standard error will overwhelm the estimate.,
! The risk premium estimated in the US is the premium for a mature market. You can apply it to France and Germany.,
"Note: The fact that you are using a 10-year bond rate should be of no relevance in picking a risk premium. Therefore, the fact that the historical premium was computed over 10 years is of little consequence.",
Problem 3,
a. Bottom-up Levered beta,
Unlevered beta for steel companies =,! =1.32/(1+(1-.4)(.20)) 
Unlevered beta for cash =,! Total value of firm = Equity + Debt = 600+ 400 = 1000
Unlevered beta for company =,! Cash is 400 million; Value of steel business = 1000 - 400 = 600
,Weights are 60% for steel and 40% for cash
! Forgot to weight cash: - 1 point,
! Wrong weights for cash and assets: -1 point,
! Wrong unlevered beta: - .5 to -1 point,
,
b. Market value of equity =,
   Market value of debt =,
   Debt to Equity Ratio =,
   Levered Beta = 0.707 ( 1+ (1-.4) (.67)) =,0.99
,
c. If the firm returns $ 200 million as a special dividend and invests $ 200 million in the chemical business with a beta of 0.70,
Unlevered beta = 1.179 (.75) + 0.70 (.25) =,
New Debt to Equity ratio = 400/400 =,
New levered beta =,
,
! Did not adjust weights correctlyY: -.5 to -1 point,
! Used beta from part a instead of unlevered beta of steel companies: -0.5 points,
! Wrong debt to equity ratio: -0.5 points,
,
Quiz 1: Spring 2004,
Problem 1,
"a. Maximize firm value: If markets are not efficient, you should not focus on stock prices. Since bondholders are not",
"protected, you should not maximize stockholder wealth.",
"b. An institutional investor, who is most likely to well diversified. In all the other cases, you are likely to find the marginal investor not well diversified.",
c. A publicly traded firm that is widely held by institutions and managers hold little stock in the firm. (The conflict is likely to be smaller in a firm with activist investors and with the founder/owner as CEO because stockhodlers will have a say in management).,
d. True. Badly managed firms whose stock has done badly are more likely to be targets in hostile takeovers.,
,
,
Problem 2,
a. Quarterly riskfree rate =,
Jensen's alpha =,
,
,
b. Expected Return = 4.25% -0.20 (4.82%) =,0.03286
,
c. You would settle for less than the riskfree rate because it operates as insurance against inflation.,
,
Problem 3,
Step 1: Compute the unlevered betas,
Unlevered beta for Greider =,! 1.30/(1+(1-.4)(200/400))
Unlevered beta for Motown Movies =,! 1.40/(1+(1-.4)(300/100))
Unlevered beta for combined firm  =,! 1 (600/1000) + 0.5(400/1000)
,Weights are values of the two firms (debt + equity)
,
Step 2: Compute the debt to equity ratio after the merger and new levered beta,
Debt = 200 + 300 + 100 =,! Assume $300 million in debt and borrow $100 million to buy back stock
Equity =,
New levered beta =,! 0.80 (1 + (1-.4) (600/400))
,
Part b,
If equity issued and debt of Apple is retired:,
Debt =,
Equity = 400 + 400 =,! Firm has to issue 400 milliion in equity to retire debt and buy stock in Motown
New levered beta =,! 0.80 (1+(1-.4)(200/800))
! I don't quite understand the solutions where you find $ 300 million,
"in cash to retire the debt. If this cash was sitting around prior the acquisition,",
your unlevered beta will have to be adjusted dramatically. I cannot ,
,
Spring 2005,
Problem 1,
1a. Paying greenmail to a bidder to avoid a hostile acquisition.,
All of the other actions can have reasonable explanations at least some of the time.,
,
1b. Entering risky new businesses.,
All of the other actions should make you more comfortable as a lender.,
,
1c. False. It is only if earnings increases or decreases are greater than expected that you should see stock prices react.,
,
1d. True. You don't need to assume that markets are efficient to maximize firm value. It is stock price maximization that requires this assumption.,
,
Problem 2,
Expected Return = 4.25% + 1.60 (4.75%) =,0.1185
* You have to use the current long term bond rate in the US (US $ cost of equity),
"* You have to use the beta estimated against the S&P 500 (broad US index, since your investors are US diversified investors)",
* You have to use long term risk premium (available only for the US),
Why is there no country risk premium?,
1. The company gets 100% of its revenues from the US. There should be relatively little country risk exposure.,
"2. Even if you decided that there should be country risk exposure, there is not enough info to compute it. (You cannot compete a shekel rate to a $ rate)",
Errors,
1. Wrong riskfree rate: -1,
2. Wrong beta: -1,
3. Wrong risk premium: -1,
"(I know… I know…if you get all 3 wrong, you",
"still get a zero, not -1)",
,
Problem 3,
Unlevered beta =,
Levered beta =,
,
New Balance Sheet after transaction,
Debt,
Equity,
,
New unlevered beta = 1.4 (1000/1500) + 1.1 (500/1500) =,
New levered beta = 1.3 (1+ (1-.4) (150/1350)) =,1.386666666666666
,
Errors,
1. Used current D/E ratio to unlever regression beta: -1,
2. Used wrong D/E to relever beta: -1/2,
3. Mechanical errors: -1/2 each,
,
1. Business mix weights wrong: -1,
2. Debt wrong: -1,
3. Equity wrong: -1,
4. Mechanical errors: -1/2 each,
Spring 2007,
Problem 1,
a. Restricted stock in the company (restrictions are on trading),
Stock options are a close second but they may encourage too much risk taking,
Bonuses tied to earnings or revenues may align with stock prices,
b.  Firms with better corporate governance are more likely to change managers when they are badly managed,
Not all firms with good corporate governance are well managed and not all firms with poor corporate ,
"governance are poorly managed, but good corporate governance allows stockholders to change bad ",
managers more easily.,
c. Maximize stockholder wealth,
You can still steal from your bondholders or create social costs in an efficient market,
d. Convince customers to stop buying the firm’s products and investors to sell it’s stock,
This may be my subjective judgment but laws and lawsuits are blunt weapons. For every guilty firm that ,
"they target, they create significant costs for the non-guilty.",
"(If you can make a convincing case for one of the other options, I am willing to listen)",
,
Problem 2,
a. The broadest inext in terms of risky assets represented (to get close to the market portfolio in the CAPM),
b. Expected Return = Riskfree Rate + Beta * Risk Premium,
,0.08678
,
,
c. Price today = $ 40,
   Jensen's alpha (monthly) = ,
   Jensen's alpha (annualized),! You got full credit if you used 2.52% - the non-compounded number
   Expected return next year =,! Expected return (8.68%) + Jensen's alpha
   Expected Stock price in 1 year =,! 40 (1.1123)
,
! 1 point for Jensen's alpha calculation,
! 1 point for price calculation,
,
,
Problem 3,
a. Unlevered beta for combined compan,
Unlevered beta of acquirer =,
Unlevered beta of target =,
Unlevered beta for combined company =,0.88
"b. To get to a levered beta of 1.144, you can solve for the D/E ratio",
1.144 = 0.88 (1+(1-.4)(D/E)),
D/E Ratio =,
Total value of the firm afer transaction =,2500
Debt after transaction =,! (0.5/1.5) (2500)
Total assumed debt =,
Debt retired =,
,
,
Spring 2008,
Problem 1,
"a. Small board, composed mostly of outsiders, with an independent chairman",
"Small boards are generally more effective than large boards, outsiders than insiders and an independent chairman helps.",
,
b.  Looking for a friendly bidder (white knight) who will compete with the hostile acquirer.,
"If they succeed, you get an even higher price. If they fail, the hostile takeover still goes through.",
,
c. False.,
It is only if you pay a premium over the true value of the acquirer that your stock price should drop.,
You alwayas pay more than the current price in an acquisition.,
"(I know that many you rationalized a ""true"" answer by arguing that the market price is right in an efficient market.",
"That is true, but only in reflecting the current value of the firm. To the extent that you can create synergy or other",
"potential value increase, you can pay more than the market price and still walk away a winner.)",
,
d.,
Stockholders in potential targets. Stockholders in acquiring firms may actually be thankful and bondholders,
generally are more likely to be hurt than helped by takeovers.,
,
Problem 2,
To get a nominal peso cost of equity,
"First, you need a riskfree rate in reais",
Rate on 10-year nominal Pesobond =,
 - Default spread for bond,
Riskfreee rate in nominal reais,
,
"Next, we need an equity risk premium",
Equity risk premium for US,
Additional risk premium for Argentina,
Total equity risk premium =,
"Last, we need a beta",
"Since the marginal investors are globally diversified, we will use the MSCI beta of 0.90",
,
Cost of equity = 8.5% + 0.90 (8.54%) =,
,
Problem 3,
Regression beta =,
Unlevered beta for company =,
Proportiion of the company that is cash =,
Proportiion that is soflware =,
Unlevered beta for software business =,
,
b. Breakdown of value after acquisitiion,
Software,
Cash,
Internet services,! Use unlevered beta of business
,
Weighted unlevered beta =,
Debt/Equity after transaction,
Weighted levered beta =,
,
Spring 2009,
Problem 1,
a. iv. Top managers at badly managed companies will be fired more frequently.,
b. iv. Not count unreturned proxies as votes (returned proxies will be counted),
"There were some who ""required all shareholders, by law, to return their proxies. First, I am not sure that you can force them to fill it out before they return. Second, what do you plan to do, if they do not?",
c. ii. Require that all top management compensation contracts be put to shareholder vote (rather than be approved by the board of directors),
"Many of you picked ""requiring at least 50% of the compensation being options"". Good soliution, but to the wrong problem. If the problem that you were trying to solve was that management interests were not alighed with stockholder interests, this would work. However, the problem here is a different one. CEOs are being given large compensation packages by the board of directors in the face of poor performance. I don't see how requiring that 50% of that outlandish package be options will solve the problem. In fact, some of the most obscen pay packages in US corporate history have been construced using options.",
,
,
"d. ii. No. Even if markets are efficient, stock prices can be volatile.",
,
Problem 2,
0.15% - X (1-1.20) = 0.30% - X (1-0.90),
0.15%+0.2X = 0.30%-0.1X,
0.3X=0.15%,
X = 0.5%,
,
b. Expected Return = 3% + 1.20 (6%) =,
,
c. ,
Riskfree rate =,
,
Equity Risk Premium,
Mature market premium =,
Mexican Country risk premium =,
Total Equity risk premium =,
,
Cost of equity =,
,
Problem 3,
a. Levered beta =,
Average D/E ratio over period=,
Tax rate =,
Unlevered beta =,
,
b. Unlevered beta for casinos =,
Unlevered beta for catering =,
,
,
c. New weights,
Casino,
Catering,
New unlevered beta =,
,
New Debt =,
New Equity ,
New D/E ratio =,
New levered beta =,
,
Spring 2010,
Problem 1,
"a. Make this a freebie, since you can think of good reasons why this statement can be true or false.",
"   To the extent that institutional investors own more stock, they have more weight to throw around (True)",
   The problem is that most instiutional investors are passive and vote with managers (false),
b. Activist investors target the company (The essence of a backlash is that life gets more unpleasant for managers. Investors selling ,
"   their stock clearly does not and giving managers options is a reward, not a backlash.)",
"c. No. If the expectation was for a much larger earnings increase, this could have been a negative surprise.",
d. Foreign institutions. They own a lot of stock and trade the stock.,
,
Problem 2,
a. Riskfree rate = 3.5%,
    Beta = 1.20 (investors are global investors),
    Equity risk premium = 4.5%,
    Cost of equity = 3.5% + 1.2 (4.5%) = ,
,
b. Riskfree rate = 3.5% ,
    Beta = 1.20 (investors are still global investors),
    Country risk premium = 1.6* (6% - 3.5%) =,0.04000000000000001
    Total equity risk premium = 4.5% + 4.00% =,0.085
    Cost of equity = 3.5% + 1.2 (8.5%),0.137
,
Problem 3,
a. Unlevered beta for the firm,
Business,
Software,
Consulting,
Firm,
,Current financial balance sheet
Debt =,1200
Equity =,800
D/E Ratio,
Levered beta=,
,
b. After restructuring,
Business,
Software,
Consulting,
Firm,
,New financial balance sheet
Debt =,600
Equity =,1000
D/E Ratio,
Levered beta=,
,
Spring 2011,
Problem 1,
a.,
Intercept =,
Weekly riskfree rate =,
Weekly Jensen's alpha =,
Annualized Jensen's alpha =,
,
You can also doi everything in decimals,
Intercept =,
Weekly riskfree rate =,
Weekly Jensen's alpha =,
Annualized Jensen's alpha,
,
b. 52.6% of the total risk in the firm is market risk,
,
Problem 2,
Current US $ cost of equity =,
Beta =,
,
Ten-year bond rate in pesos =,
Default spread =,
Risk free rate in pesos =,
,
Mature market premium,
Relative equity market volatiliy =,
Country risk premium for Colombia =,
,
Cost of equity in pesos =,
,
Problem 3,
a. ,
Busineess,Value weight
Capuccino bars,0.25
Coffee/Espresso Machines,0.75
Entire firm,
,
Unlevered beta for the firm =,1. Used revenue weights: -1 point
Debt =,2. Did not compute D/E ratio: -1 point
Equity =,3. Math error: -0.5 point
D/E ratio =,
Levered Beta =,
,
b.,
Debt after initial borrowing ,1. Used unlevered beta from part a: -1 point
 - Proceeds from selling espresso bars,2. Did not compute new D/E ratio right: -1 point
Debt after sale,
Firm value after sale & debt repaid,
Equity after sale & debt repaid,
D/E ratio =,
Unlevered beta of firm =,
levered beta =,
,
Spring 2012,
Problem 1,
a.  Stockholders have the option to replace all managers every year.,
You just have to hope that stockholders use this option wisely and remove mostly bad managers.,
"Giving the option to replace only bad managers sounds good, but who is going to be the judge of which managers are good and which ones are bad?",
b. Less money will be lent at higher interest rates,
"Lenders will hold back on lending & charge higher interest rates, since they have no protection.",
c. False,
"The offering price in an IPO is set by investment bankers, who have incentives to set it too low. So,, the price jump will reflect those incentives. ",
"d. True. In an efficient market, after the initial offering jump, IPOs should earn risk-adjusted returns similar to those earned by seasoned stocks.",
"Note that any story that you tell about IPOs being riskier (that you know less about them, they have a shorter history, more uncertainty in their prospects) cuts",
"in the opposite direction. If they were riskier, in an efficient market, they should generate higher returns, not lower ones.",
,
Problem 2,
a. Govt bond rate in Zlotys =,
   Default spread for Poland =,
  Riskfree rate in Zlotys =,
,
b. Historical premium for mature market =,
    Country risk premium for Poland =,
   Total equity risk premium for Poland =,
,
Problem 3,
a. Intercept =,! Did not make riskfree rate monthly: -0.5 point
Monthly risk free rate =,! Mixed decimals & percent: -0.5 point
Monthly riskfree rate (1- Beta),
Jensen's alpha =,
,
b. Levered beta =,
   D/E ratio during the regression =,
   Unlevered beta =,
,
c. Unlevered beta pre-break up =,
    Unlevered beta of premium foods =,
0.70 (.40) + Unlevered beta for packaged foods (.60) = 0.475,
Unlevered beta for packaged foods =,
Value of packaged foods business =,
Debt of packaged foods business =,
Equity of packaged foods business =,
D/E ratio of packaged foods business =,
Levered beta of packaged foods business =,
,
,
Spring 2013,
Problem 1,
"1a. iii. A requirement that once cash hits 10% of value, stockholders get a binding vote.",
   This is the only choice where stockholders get a say and thus can choose to hold managers,
  accountable (or not). The other choices may put limits on cash but they do not,
  give stockholders any say.,
1b.i.  Hold the cash (do nothing),
" As a lender, you want security and safety. Nothing is safer than cash when it comes to getting your",
debt paid off.,
1c. False,
" The new business may be a bad business. Investment is not always ""value creating"" for stockholders",
1d. iii.The absence of news will be viewed as bad news by investors (since companies sit on bad news),
,
Problem 2,
Current cost of equity =,
Back out the current beta,
Riskfree rate + Beta (ERP) = Cost of equity,
2% + Beta (6%) = 9.5%,
Beta = ,
,
Riskfree rate in Chilean pesos=,
Country risk premium for Chile =,
ERP for Chile =,
Cost of equity in Chielan pesos =,
,
Problem 3,
Apple's current financial balance sheet,
Assets,
Computers (Beta = 1.5),
Entertainment (Beta = 1.2),
Cash (Beta = 0),
Total,
Unlevered beta = 1.5(210/420)+ 1.20(70/420)+0(140/420),
,
,
To get unlevered beta of TV business,
Median regression beta,
Median D/E ratio,
Median unlevered beta (company),
Cash/ Value,
Unlevered beta of TV business,
,
After debt & expansion,
Assets,
Computers (Beta = 1.50),
Entertainment (Beta = 1.20),
TV (Beta = 0.80),
Cash,
Total,
Unlevered beta after transaction = 1.5(210/400)+1.20(70/400)+0.80(70/400)+0(50/400),
,
D/E ratio =,
Levered beta =,
,
Spring 2014,
Problem 1,
a. iv. The company will pay less dividends than its competitors. ,
"As a lender, you want the company to take safe projects (not risky ones), borrow less (not more) and accumulate",
more cash (not less),
b. iv. Maximize stockholder wealth,
Net income and operating income are one year numbers and stock prices don't work if markets are not efficient.,
Never makes sense to maximize bondholder wealth.,
c. v. The market price should go up only if the big investments will increase the value of the company.,
Not all big investments are good investments that increase long term value. An efficent market should discriminate,
d. iv. The board of directors contests and sometimes alters decisions made by the CEO.  ,
"Effectiveness is measured by actions, not looks (size of the board, diversity, outsider/insider) or appearance.",
,
Problem 2,
,Standard deviation on 10-year Govt Bond
Chile,0.16
Brazil,0.2
US,0.15
,
a.To get the cost of equity for Brazilian operations in US dollars,
Risk free rate =,
Beta =,
ERP =,
Cost of Equity =,
,
b. To get a cost of equity in Chilean peso for the Chilean operations,
Risk free rate =,
Beta =,
ERP =,
Cost of equity =,
,
Problem 3,
,
Cash,
Gym Operations,
a. Levered beta for Company,
Business,
Cash,
Gym Operations,
General Fitness,
,
D/E ratio =,
Tax rate =,
Levered Beta =,
,
b. After borrowing money & acquisition,
Gym Operations,
Gym Equipment,
,
Business,
Gym Operations,
Gym Equipment,
General Fitness,
,
D/E ratio,
Levered Beta =,
,
Spring 2015,
Problem 1 (Multiple Choice),
Part a,
ii. Badly managed companies where managers hold little or no equity.,
The bad management needs fixing and the low equity holdings makes the activist's job easier.,
Part b,
ii. Taking advantage of loopholes in loan agreements to increase earnings.,
That will make equity investors better off at the expense of lenders (thus leading to no gain in firm value),
Part c,
v. None of the above,
Part d,
ii. False,
,
Problem 2,
,
Country,Passenger Revenues (in millions of Zloty)
Poland,500
Hungary,250
Germany,250
,
a. Risk free rate in Zlotys,
Government Bond rate in Zlotys =,
Defautl spread (from Euros),
Riskfree rate in Zlotys =,
,
b. Equity Risk Premium,
Country,Weight
Poland,0.5
Hungary,0.25
Germany,0.25
,
Problem 3,
Part a,
Unlevered Beta for hotel business,
Market value of equity =,
Market value of debt =,
D/E ratio =,
Levered Beta =,
,
Part b,
Value of the business =,
Divestiture as % of business value =,
Divestiture proceeds =,
Value of hotel business after sale =,
Value of fast-food business bought =,
Unlevered beta of fast food business ,
Unlevered beta for company ,
Special Dividend Paid =,
Equity after special dividend =,
Debt repaid =,
Debt after repayment =,
D/E Ratio =,
Levered Beta =,
